vaalipiiri;puolue;ikä;sukupuoli;Toimin tällä hetkellä kansanedustajana.;kotikunta;Äidinkieli;Työnantaja;Ammattiasema;Koulutus;Uskonnollinen yhteisö;Poliittisen puolueen jäsen;Käytän vaaleihin rahaa;Vuositulot;127|Suomessa on liian helppo elää sosiaaliturvan varassa;128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.;129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.;130|Työntekijälle on turvattava lailla minimityöaika.;131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.;132|Euron ulkopuolella Suomi pärjäisi paremmin.;134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.;135|Lapsilisiä on korotettava ja laitettava verolle.;136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.;137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.;138|Suomeen tarvitaan enemmän poliiseja.;139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.;140|Venäjän etupiiripolitiikka on uhka Suomelle.;141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.;142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.;143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.;144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.;145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.;146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.;148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.;150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.;151|On aika luopua ajatuksesta, että koko Suomi on pidettävä asuttuna.;201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.;244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.;245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.;246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.;247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.;248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.;class
03 Varsinais-Suomen vaalipiiri;Suomen Keskusta;42;M;0;Somero;suomi ;null;yrittäjä ;joku muu;evankelis-luterilainen kirkko ;kyllä ;20 000-50 000 euroa;30 000-50 000 euroa;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
03 Varsinais-Suomen vaalipiiri;Suomen Sosialidemokraattinen Puolue;40;M;0;Parainen;null;julkinen ;toimihenkilö ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;30 000-50 000 euroa;täysin eri mieltä;ohita kysymys;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei valittu
03 Varsinais-Suomen vaalipiiri;Piraattipuolue;0;M;0;Turku;suomi ;ei työelämässä;taiteilija ;ylioppilas ;evankelis-luterilainen kirkko ;kyllä ;alle 1 000 euroa;alle 20 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
08 Kaakkois-Suomen vaalipiiri;Vihreä liitto;20;M;0;Kotka;suomi ;yksityinen ;yrittäjä ;ylioppilas ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;1 000-5 000 euroa;alle 20 000 euroa;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Kristillisdemokraatit (KD);52;F;0;Nurmijärvi;suomi ;julkinen ;opiskelija ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;alle 1 000 euroa;20 000-30 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei valittu
10 Vaasan vaalipiiri;Vihreä liitto;41;M;0;Kaustinen;suomi ;yksityinen ;toimihenkilö ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;alle 1 000 euroa;20 000-30 000 euroa;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;ohita kysymys;ohita kysymys;täysin eri mieltä;täysin eri mieltä;ohita kysymys;täysin eri mieltä;ohita kysymys;ohita kysymys;ohita kysymys;täysin samaa mieltä;täysin samaa mieltä;ohita kysymys;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei valittu
13 Lapin vaalipiiri;Kansallinen Kokoomus;37;F;0;Kittilä;suomi ;yksityinen ;yrittäjä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;alle 1 000 euroa;30 000-50 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;ohita kysymys;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;ohita kysymys;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Sosialidemokraattinen Puolue;60;F;1;Tuusula;suomi ;null;null;joku muu;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;70 000-100 000 euroa;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;ohita kysymys;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei valittu
12 Oulun vaalipiiri;Suomen Sosialidemokraattinen Puolue;27;M;0;Oulu;suomi ;yksityinen ;toimihenkilö ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;5 000-10 000 euroa;20 000-30 000 euroa;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei valittu
06 Hämeen vaalipiiri;Suomen Kristillisdemokraatit (KD);58;F;0;Hämeenlinna;suomi ;julkinen ;työntekijä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;alle 1 000 euroa;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Tyhjä;Ei;Kyllä;Ei valittu
12 Oulun vaalipiiri;Vasemmistoliitto;42;F;0;Kajaani;suomi ;julkinen ;työntekijä ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;5 000-10 000 euroa;null;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;ohita kysymys;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;ohita kysymys;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
12 Oulun vaalipiiri;Suomen ruotsalainen kansanpuolue;0;M;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Ei valittu
08 Kaakkois-Suomen vaalipiiri;Kansallinen Kokoomus;37;F;0;Kouvola;suomi ;yksityinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;null;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei valittu
09 Savo-Karjalan vaalipiiri;Itsenäisyyspuolue;65;F;0;Vieremä;suomi ;ei työelämässä;taiteilija ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;alle 1 000 euroa;alle 20 000 euroa;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Ei;Tyhjä;Ei;Kyllä;Kyllä;Ei valittu
08 Kaakkois-Suomen vaalipiiri;Suomen Sosialidemokraattinen Puolue;38;F;1;Ruokolahti;suomi ;julkinen ;työntekijä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;70 000-100 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;null;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Tyhjä;Ei;Ei;Kyllä;Kyllä;Valittu
12 Oulun vaalipiiri;Kansallinen Kokoomus;37;F;0;Oulu;null;julkinen ;työntekijä ;joku muu;evankelis-luterilainen kirkko ;kyllä ;5 000-10 000 euroa;30 000-50 000 euroa;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Tyhjä;Kyllä;Kyllä;Ei valittu
11 Keski-Suomen vaalipiiri;Suomen Kristillisdemokraatit (KD);54;M;0;Konnevesi;suomi ;julkinen ;työntekijä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;alle 1 000 euroa;null;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä;Ei valittu
07 Pirkanmaan vaalipiiri;Vihreä liitto;66;M;0;Ylöjärvi;suomi ;ei työelämässä;eläkeläinen ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;5 000-10 000 euroa;50 000-70 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei valittu
08 Kaakkois-Suomen vaalipiiri;Itsenäisyyspuolue;38;F;0;Iitti;suomi ;yksityinen ;yrittäjä ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;alle 1 000 euroa;null;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei valittu
09 Savo-Karjalan vaalipiiri;Perussuomalaiset;47;M;0;Vieremä;suomi ;yksityinen ;työntekijä ;null;null;kyllä ;5 000-10 000 euroa;20 000-30 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei valittu
04 Satakunnan vaalipiiri;Kansallinen Kokoomus;47;M;0;Kankaanpää;suomi ;julkinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;70 000-100 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;Ei;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei valittu
09 Savo-Karjalan vaalipiiri;Suomen Kristillisdemokraatit (KD);52;F;0;Juuka;suomi ;julkinen ;työntekijä ;korkeakoulututkinto ;muu kristillinen kirkko tai yhteisö ;kyllä ;1 000-5 000 euroa;30 000-50 000 euroa;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Kommunistinen Puolue;66;M;0;Sipoo Sibbo;suomi ;yksityinen ;työntekijä ;null;null;kyllä ;null;30 000-50 000 euroa;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Kommunistinen Puolue;29;M;0;Sipoo;suomi ;yksityinen ;työntekijä ;peruskoulu ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;alle 1 000 euroa;20 000-30 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Tyhjä;Ei valittu
01 Helsingin vaalipiiri;Piraattipuolue;25;M;0;Helsinki;suomi ;julkinen ;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;alle 1 000 euroa;20 000-30 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;ohita kysymys;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Sosialidemokraattinen Puolue;50;F;0;Vantaa;suomi ;julkinen ;asiantuntijatehtävä ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;20 000-50 000 euroa;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Piraattipuolue;54;M;0;Tuusula;suomi ;yksityinen ;yrittäjä ;joku muu;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;alle 1 000 euroa;30 000-50 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Ei;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
07 Pirkanmaan vaalipiiri;Suomen Keskusta;42;F;0;Kihniö;suomi ;yksityinen ;yrittäjä ;ammattitutkinto ;muu kristillinen kirkko tai yhteisö ;kyllä ;1 000-5 000 euroa;20 000-30 000 euroa;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Perussuomalaiset;59;M;0;Vantaa;suomi ;yksityinen ;asiantuntijatehtävä ;korkeakoulututkinto ;null;kyllä ;10 000-20 000 euroa;50 000-70 000 euroa;ohita kysymys;jokseenkin samaa mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;ohita kysymys;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;Kyllä;Kyllä;Tyhjä;Tyhjä;Kyllä;Kyllä;Ei valittu
03 Varsinais-Suomen vaalipiiri;Vasemmistoliitto;0;M;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Ei valittu
03 Varsinais-Suomen vaalipiiri;Piraattipuolue;31;M;0;Espoo;suomi ;yksityinen ;yrittäjä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;null;30 000-50 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
02 Uudenmaan vaalipiiri;Muutos 2011;0;M;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Ei valittu
